Quick Lookup,USDA Symbol,Common Name
Abies amabilis,ABAM,Pacific Silver Fir
Abies balsamea,ABBA,Balsam Fir
Abies bracteata,ABBR,Bristlecone Fir
Abies concolor,ABCO,White Fir
Abies fraseri,ABFR,Fraser Fir
Abies grandis,ABGR,Grand Fir
Abies lasiocarpa,ABLA,Subalpine Fir
Abies magnifica,ABMA,California Red Fir
Abies procera,ABPR,Noble Fir
Abronia ammophila,ABAM3,Wyoming Sand Verbena
Abronia fragrans,ABFR2,Snowball Sand Verbena
Abronia latifolia,ABLA2,Coastal Sand Verbena
Abronia maritima,ABMA2,Red Sand Verbena
Abronia mellifera,ABME,White Sand Verbena
Abronia umbellata,ABUM,Pink Sand Verbena
Abronia villosa,ABVI,Desert Sand Verbena
Abutilon eremitopetalum,ABER,Hiddenpetal Indian Mallow
Abutilon incanum,ABIN,Pelotazo
Abutilon malacum,ABMA3,Yellow Indian Mallow
Abutilon menziesii,ABME2,Ko'oloa 'ula
Abutilon permolle,ABPE,Coastal Indian Mallow
Abutilon wrightii,ABWR,Wright's Indian Mallow
Acacia angustissima,ACAN,Prairie Acacia
Acacia constricta,ACCO2,Whitethorn Acacia
Acacia farnesiana,ACFA,Sweet Acacia
Acacia greggii,ACGR,Catclaw Acacia
Acacia koa,ACKO,Koa
Acacia koaia,ACKO2,Koaoha
Acacia rigidula,ACRI,Blackbrush Acacia
Acalypha rhomboidea,ACRH,Common Threeseed Mercury
Acalypha virginica,ACVI,Virginia Threeseed Mercury
Acamptopappus shockleyi,ACSH,Shockley's Goldenhead
Acamptopappus sphaerocephalus,ACSP,Rayless Goldenhead
Acer circinatum,ACCI,Vine Maple
Acer floridanum,ACFL,Southern Sugar Maple
Acer glabrum,ACGL,Rocky Mountain Maple
Acer grandidentatum,ACGR3,Bigtooth Maple
Acer macrophyllum,ACMA3,Bigleaf Maple
Acer negundo,ACNE2,Boxelder
Acer nigrum,ACNI5,Black Maple
Acer pensylvanicum,ACPE,Striped Maple
Acer rubrum,ACRU,Red Maple
Acer saccharinum,ACSA2,Silver Maple
Acer saccharum,ACSA3,Sugar Maple
Acer spicatum,ACSP2,Mountain Maple
Achillea millefolium,ACMI2,Common Yarrow
Achlys triphylla,ACTR,Sweet After Death
Achnatherum hymenoides,ACHY,Indian Ricegrass
Achnatherum lemmonii,ACLE8,Lemmon's Needlegrass
Achnatherum lettermanii,ACLE9,Letterman's Needlegrass
Achnatherum nelsonii,ACNE9,Columbia Needlegrass
Achnatherum nevadense,ACNE10,Nevada Needlegrass
Achnatherum occidentale,ACOC3,Western Needlegrass
Achnatherum pinetorum,ACPI2,Pine Needlegrass
Achnatherum speciosum,ACSP12,Desert Needlegrass
Achnatherum thurberianum,ACTH7,Thurber's Needlegrass
Acleisanthes longiflora,ACLO2,Angel's Trumpets
Acmella oppositifolia,ACOP,Oppositeleaf Spotflower
Acoelorraphe wrightii,ACWR4,Everglades Palm
Aconitum columbianum,ACCO4,Columbian Monkshood
