,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
0,ABBA,"https://www.gonativetrees.com/, https://www.musserforests.com/, http://www.perennialgardens.name",3,"Go Native Trees, Musser Forests Indiana, Perennial Gardens New Bloomfield",Abies balsamea,Balsam Fir,"Balsam Fir (Abies balsamea): Go Native Trees, Musser Forests Indiana, Perennial Gardens New Bloomfield"
1,ABCO,http://foxhillgardens.com,1,Fox Hill Gardens,Abies concolor,White Fir,White Fir (Abies concolor): Fox Hill Gardens
2,ABFR,"https://www.gonativetrees.com/, https://www.musserforests.com/",2,"Go Native Trees, Musser Forests Indiana",Abies fraseri,Fraser Fir,"Fraser Fir (Abies fraseri): Go Native Trees, Musser Forests Indiana"
3,ACAM,"https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.taitfarmfoodslocal.com",4,"Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Tait Farm",Acorus americanus,Sweetflag,"Sweetflag (Acorus americanus): Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Tait Farm"
4,ACFL,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Acer floridanum,Southern Sugar Maple,"Southern Sugar Maple (Acer floridanum): GroWild, Overhill Gardens, Superior Trees"
5,ACKO,https://www.musserforests.com/,1,Musser Forests Indiana,Acacia koa,Koa,Koa (Acacia koa): Musser Forests Indiana
6,ACMI2,"http://foxhillgardens.com, https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",4,"Fox Hill Gardens, Gino's Newtown, Hungry Hook Bainbridge, Tait Farm",Achillea millefolium,Common Yarrow,"Common Yarrow (Achillea millefolium): Fox Hill Gardens, Gino's Newtown, Hungry Hook Bainbridge, Tait Farm"
7,ACNE2,"https://archewild.com/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.heartwoodnurseryinc.com",4,"Archewild Quakertown, Gino's Newtown, Go Native Trees, Heartwood Felton",Acer negundo,Boxelder,"Boxelder (Acer negundo): Archewild Quakertown, Gino's Newtown, Go Native Trees, Heartwood Felton"
8,ACPA,"https://www.ginosnursery.com/, https://www.keystonewildflowers.com/",2,"Gino's Newtown, Keystone Robesonia",Actaea pachypoda,White Baneberry,"White Baneberry (Actaea pachypoda): Gino's Newtown, Keystone Robesonia"
9,ACPE,"https://arcadianatives.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://redbudnative.com/",5,"Arcadia Natives Washington, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, Redbud Media",Acer pensylvanicum,Striped Maple,"Striped Maple (Acer pensylvanicum): Arcadia Natives Washington, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, Redbud Media"
10,ACRA7,"https://archewild.com/, http://foxhillgardens.com, https://www.ginosnursery.com/",3,"Archewild Quakertown, Fox Hill Gardens, Gino's Newtown",Actaea racemosa,Black Baneberry,"Black Baneberry (Actaea racemosa): Archewild Quakertown, Fox Hill Gardens, Gino's Newtown"
